Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
160,3/28/14,UConn,N,Iowa State,W 81-76,200,26,50,0.52,17,31,0.548,9,19,0.474,20,22,0.909,81
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
161,3/18/15,Robert Morris,N,North Florida,W 81-77,200,28,62,0.452,24,46,0.522,4,16,0.25,21,33,0.636,81
162,3/20/15,Wichita State,N,Indiana,W 81-76,200,25,61,0.41,23,48,0.479,2,13,0.154,29,34,0.853,81
163,3/26/15,Notre Dame,N,Wichita State,W 81-70,200,30,54,0.556,21,35,0.6,9,19,0.474,12,15,0.8,81
164,4/4/15,Duke,N,Michigan State,W 81-61,200,26,50,0.52,24,40,0.6,2,10,0.2,27,37,0.73,81
165,3/17/16,Iona,N,Iowa State,L 81-94,200,31,64,0.484,24,40,0.6,7,24,0.292,12,18,0.667,81
166,3/17/16,Virginia,N,Hampton,W 81-45,200,32,58,0.552,20,33,0.606,12,25,0.48,5,8,0.625,81
167,3/18/16,Michigan State,N,Middle Tenn.,L 81-90,200,30,54,0.556,19,30,0.633,11,24,0.458,10,15,0.667,81
168,3/20/16,VCU,N,Oklahoma,L 81-85,200,30,66,0.455,19,35,0.543,11,31,0.355,10,16,0.625,81
169,3/16/17,Middle Tenn.,N,Minnesota,W 81-72,200,28,58,0.483,21,45,0.467,7,13,0.538,18,27,0.667,81
170,3/19/17,Duke,N,South Carolina,L 81-88,200,22,53,0.415,12,26,0.462,10,27,0.37,27,29,0.931,81
171,3/15/18,Ohio State,N,S Dakota St.,W 81-73,200,27,72,0.375,15,32,0.469,12,40,0.3,15,19,0.789,81
172,3/16/18,Marshall,N,Wichita State,W 81-75,200,28,60,0.467,19,37,0.514,9,23,0.391,16,22,0.727,81
173,3/17/18,Villanova,N,Alabama,W 81-58,200,25,63,0.397,8,22,0.364,17,41,0.415,14,16,0.875,81
174,3/25/18,Duke,N,Kansas,L 81-85 (OT),225,30,70,0.429,23,41,0.561,7,29,0.241,14,18,0.778,81
175,3/17/12,Baylor,N,Colorado,W 80-63,200,28,64,0.438,17,44,0.386,11,20,0.55,13,18,0.722,80
176,3/25/12,Kansas,N,UNC,W 80-67,200,29,63,0.46,25,49,0.51,4,14,0.286,18,24,0.75,80
