Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2/29/12,Seattle,,Longwood,W 111-74,200,42,82,0.512,26,46,0.565,16,36,0.444,11,18,0.611,111
22,12/4/11,Michigan State,,Omaha,W 110-68,200,46,75,0.613,38,59,0.644,8,16,0.5,10,11,0.909,110
23,12/12/11,Longwood,,VMI,W 110-89,200,43,81,0.531,23,41,0.561,20,40,0.5,4,7,0.571,110
24,12/30/11,Duke,,Western Mich.,W 110-70,200,34,63,0.54,20,36,0.556,14,27,0.519,28,35,0.8,110
25,11/11/11,Weber State,,N New Mexico,W 109-50,200,37,61,0.607,20,32,0.625,17,29,0.586,18,23,0.783,109
26,11/15/11,Western Caro.,,Montreat,W 109-63,200,38,74,0.514,28,44,0.636,10,30,0.333,23,34,0.676,109
27,11/22/11,San Jose State,,Holy Names,W 109-71,200,41,71,0.577,30,46,0.652,11,25,0.44,16,22,0.727,109
28,12/7/11,Montana State,,Willamette,W 109-64,200,38,71,0.535,28,50,0.56,10,21,0.476,23,34,0.676,109
29,12/8/11,VMI,,Central Penn,W 109-86,200,43,88,0.489,34,53,0.642,9,35,0.257,14,23,0.609,109
30,12/11/11,Elon,,Lynchburg,W 109-67,200,40,73,0.548,27,46,0.587,13,27,0.481,16,21,0.762,109
31,12/14/11,Rice,,Louisiana Col.,W 109-51,200,37,70,0.529,34,55,0.618,3,15,0.2,32,40,0.8,109
32,12/15/11,UNC Asheville,,Montreat,W 109-61,200,44,69,0.638,40,57,0.702,4,12,0.333,17,25,0.68,109
33,11/11/11,Kentucky,,Marist,W 108-58,200,46,75,0.613,42,65,0.646,4,10,0.4,12,15,0.8,108
34,11/23/11,N.C. A&T,,Johnson/Wales-NC,W 108-55,200,43,81,0.531,36,57,0.632,7,24,0.292,15,21,0.714,108
35,11/30/11,Boise State,,Drake,W 108-64,200,36,59,0.61,22,37,0.595,14,22,0.636,22,34,0.647,108
36,12/19/11,Arkansas State,,Lyon,W 108-61,200,40,72,0.556,36,53,0.679,4,19,0.211,24,37,0.649,108
37,3/18/12,Oregon,,Iowa,W 108-97,200,35,59,0.593,25,36,0.694,10,23,0.435,28,32,0.875,108
38,11/23/11,Ohio State,,VMI,W 107-74,200,46,68,0.676,41,58,0.707,5,10,0.5,10,17,0.588,107
39,11/25/11,Florida,,Jacksonville,W 107-62,200,37,67,0.552,26,42,0.619,11,25,0.44,22,35,0.629,107
40,11/26/11,Central Ark.,,Eastern Ill.,W 107-96 (2OT),250,40,74,0.541,39,68,0.574,1,6,0.167,26,46,0.565,107
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,11/26/11,Winthrop,,Central Penn,W 107-68,200,46,74,0.622,40,60,0.667,6,14,0.429,9,22,0.409,107
42,12/3/11,Eastern Ky.,,Brescia,W 107-43,200,37,60,0.617,21,35,0.6,16,25,0.64,17,28,0.607,107
43,12/19/11,Indiana,,Howard,W 107-50,200,35,52,0.673,24,32,0.75,11,20,0.55,26,37,0.703,107
44,1/3/12,Toledo,,Indiana-NW,W 107-43,200,39,71,0.549,31,52,0.596,8,19,0.421,21,25,0.84,107
45,11/11/11,Villanova,,Monmouth,W 106-70,200,36,66,0.545,24,41,0.585,12,25,0.48,22,26,0.846,106
46,12/10/11,Miss. St.,,Troy,W 106-68,200,40,71,0.563,24,40,0.6,16,31,0.516,10,13,0.769,106
47,12/13/11,Alcorn State,,Atlanta Christian,W 106-101 (2OT),250,36,75,0.48,26,55,0.473,10,20,0.5,24,33,0.727,106
48,12/19/11,Notre Dame,,Sacred Heart,W 106-65,200,35,57,0.614,26,40,0.65,9,17,0.529,27,34,0.794,106
49,12/19/11,Weber State,,Mayville State,W 106-57,200,37,62,0.597,19,29,0.655,18,33,0.545,14,16,0.875,106
50,1/14/12,Baylor,,Oklahoma State,W 106-65,200,36,68,0.529,21,40,0.525,15,28,0.536,19,23,0.826,106
51,1/14/12,LIU-Brooklyn,,Monmouth,W 106-86,200,39,61,0.639,36,47,0.766,3,14,0.214,25,30,0.833,106
52,2/13/12,Belmont,@,Stetson,W 106-93,200,37,64,0.578,25,44,0.568,12,20,0.6,20,21,0.952,106
53,2/25/12,Monmouth,,LIU-Brooklyn,W 106-78,200,41,72,0.569,30,48,0.625,11,24,0.458,13,20,0.65,106
54,12/19/11,Iowa,,Central Ark.,W 105-64,200,42,76,0.553,37,63,0.587,5,13,0.385,16,21,0.762,105
55,2/2/12,Iona,,Canisius,W 105-86,200,40,71,0.563,27,46,0.587,13,25,0.52,12,21,0.571,105
56,3/8/12,Marshall,N,Tulsa,W 105-100 (3OT),275,36,75,0.48,31,58,0.534,5,17,0.294,28,43,0.651,105
57,3/25/12,Utah State,,Oakland,W 105-81,200,37,58,0.638,25,42,0.595,12,16,0.75,19,25,0.76,105
58,11/12/11,Coastal Caro.,,Methodist,W 104-61,200,38,67,0.567,33,55,0.6,5,12,0.417,23,34,0.676,104
59,11/23/11,Delaware State,,Phila. Biblical,W 104-41,200,42,70,0.6,32,47,0.681,10,23,0.435,10,14,0.714,104
60,11/23/11,Iona,,St. Joseph's,W 104-99 (2OT),250,38,84,0.452,29,60,0.483,9,24,0.375,19,24,0.792,104
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,11/25/11,Creighton,,Campbell,W 104-81,200,38,54,0.704,24,33,0.727,14,21,0.667,14,27,0.519,104
62,11/26/11,SC St.,@,Kennesaw State,W 104-98 (2OT),250,42,83,0.506,36,59,0.61,6,24,0.25,14,15,0.933,104
63,11/26/11,N.C. Central,,Barber-Scotia,W 104-55,200,39,68,0.574,30,47,0.638,9,21,0.429,17,23,0.739,104
64,11/28/11,Columbia,,Swarthmore,W 104-42,200,36,68,0.529,20,35,0.571,16,33,0.485,16,19,0.842,104
65,12/8/11,Eastern Wash.,,Linfield,W 104-54,200,42,81,0.519,27,45,0.6,15,36,0.417,5,6,0.833,104
66,12/15/11,Missouri,,Kennesaw State,W 104-67,200,39,65,0.6,33,47,0.702,6,18,0.333,20,25,0.8,104
67,1/12/12,San Francisco,,Portland,W 104-70,200,39,58,0.672,26,40,0.65,13,18,0.722,13,18,0.722,104
68,1/16/12,Lipscomb,,Stetson,W 104-103 (OT),225,41,74,0.554,33,53,0.623,8,21,0.381,14,28,0.5,104
69,11/11/11,VMI,N,Citadel,W 103-100,200,36,72,0.5,29,46,0.63,7,26,0.269,24,30,0.8,103
70,11/11/11,Presbyterian,,Montreat,W 103-73,200,38,66,0.576,26,41,0.634,12,25,0.48,15,27,0.556,103
71,11/14/11,TCU,,Austin College,W 103-45,200,39,66,0.591,35,54,0.648,4,12,0.333,21,31,0.677,103
72,11/18/11,Northern Ariz.,,Arizona Christian,W 103-42,200,41,71,0.577,29,45,0.644,12,26,0.462,9,10,0.9,103
73,11/19/11,Boise State,,Cal St Northridge,W 103-61,200,32,66,0.485,19,37,0.514,13,29,0.448,26,38,0.684,103
74,12/3/11,Texas State,,Houston Baptist,W 103-76,200,34,56,0.607,24,40,0.6,10,16,0.625,25,37,0.676,103
75,12/10/11,Campbell,,Methodist,W 103-55,200,38,68,0.559,29,47,0.617,9,21,0.429,18,22,0.818,103
76,12/21/11,South Dakota,,Peru State,W 103-63,200,38,67,0.567,25,43,0.581,13,24,0.542,14,23,0.609,103
77,1/7/12,Lamar,,Central Ark.,W 103-67,200,37,67,0.552,27,52,0.519,10,15,0.667,19,21,0.905,103
78,1/7/12,Stanford,@,Oregon State,W 103-101 (4OT),300,37,92,0.402,24,64,0.375,13,28,0.464,16,28,0.571,103
79,1/16/12,Stetson,@,Lipscomb,L 103-104 (OT),225,34,74,0.459,21,37,0.568,13,37,0.351,22,30,0.733,103
80,1/29/12,Indiana,,Iowa,W 103-89,200,37,67,0.552,33,51,0.647,4,16,0.25,25,31,0.806,103
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,2/2/12,Longwood,,Southern Virginia,W 103-84,200,34,54,0.63,22,34,0.647,12,20,0.6,23,29,0.793,103
82,2/16/12,LIU-Brooklyn,,Sacred Heart,W 103-91 (OT),225,33,60,0.55,25,38,0.658,8,22,0.364,29,39,0.744,103
83,3/8/12,Alcorn State,N,Prairie View,W 103-79,200,34,54,0.63,29,46,0.63,5,8,0.625,30,39,0.769,103
