Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
71,Davidson,33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,102.8,0.296,0.417,0.538,49.2,52,7.2,8.6,0.512,14.5,23.2,0.203
72,Dayton,31,14,17,0.452,1.64,2.7,8,10,12,4,1,10,2244,2277,67,108,0.292,0.39,0.57,50.3,55.5,8.8,7.9,0.544,16.3,27.6,0.209
73,Delaware State,32,4,28,0.125,-24.59,-9.32,2,14,4,9,0,18,2034,2458,66.9,113,0.355,0.446,0.577,51.8,56.5,11,8.9,0.55,16.1,33.5,0.249
74,Delaware,33,14,19,0.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,67,109,0.301,0.388,0.556,49.8,52.1,7.9,7.6,0.527,13.4,26.2,0.218
75,Denver,30,15,15,0.5,-5.22,-2.54,8,6,10,4,3,9,2192,2189,68.7,104.4,0.36,0.434,0.544,45.6,44.2,9.5,7.4,0.507,14.3,23.9,0.26
76,DePaul,31,11,20,0.355,6.55,8.45,4,14,6,10,4,7,2230,2289,71.2,103.3,0.323,0.431,0.555,48.3,58.8,9.9,7.2,0.52,17.8,28.1,0.24
77,Detroit Mercy,32,8,24,0.25,-12.47,-2.07,4,14,5,11,2,11,2516,2743,75.4,113.2,0.374,0.378,0.586,52.5,54.7,8.7,11.5,0.557,15.6,31.3,0.265
78,Drake,34,17,17,0.5,-0.51,0.59,10,8,11,3,4,11,2506,2495,69.4,103.5,0.243,0.378,0.539,51.6,54.3,8.4,10.4,0.515,15.1,26.7,0.172
79,Drexel,33,13,20,0.394,-7.2,-2.48,6,12,9,5,2,11,2454,2591,70.1,110.3,0.31,0.327,0.55,50.1,49.8,9.2,8.3,0.521,13.7,30.9,0.219
80,Duke,37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,70.7,97.8,0.223,0.368,0.493,44.5,56.1,8,6.7,0.464,14.8,29.6,0.162
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duquesne,32,16,16,0.5,-1.08,-3.33,7,11,13,6,2,7,2317,2245,66.5,103.1,0.364,0.324,0.54,48.8,56.2,7.9,8.4,0.508,16.2,28.9,0.252
82,East Carolina,30,10,20,0.333,-8.72,-0.22,4,14,8,11,2,8,1993,2248,68.8,107.5,0.311,0.352,0.542,52.1,58.2,9.5,9.1,0.515,14.8,32.5,0.213
83,East Tennessee State,34,25,9,0.735,3.72,-4.09,14,4,12,4,11,4,2556,2241,69.7,94.6,0.322,0.406,0.504,47.1,48.2,8.7,8.7,0.468,18.4,27.8,0.226
84,Eastern Illinois,31,12,19,0.387,-8.33,-3.4,7,11,7,6,4,12,2065,2120,66.4,102.6,0.325,0.379,0.541,50.1,56.2,9.4,9,0.509,17.3,29.6,0.232
85,Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,5,13,6,7,5,12,2230,2371,70,108.9,0.344,0.363,0.566,52,55.9,10,9.3,0.542,16.4,30.9,0.232
86,Eastern Michigan,35,22,13,0.629,-0.23,-2.81,11,7,14,3,7,9,2509,2339,67.6,97.8,0.298,0.393,0.509,50.3,63.4,10,8.2,0.473,18,31.9,0.215
87,Eastern Washington,35,20,15,0.571,-0.03,-1.55,13,5,11,1,6,12,2619,2520,69.2,103.3,0.359,0.339,0.543,50.4,52.5,7.9,6.5,0.507,15.1,24.1,0.258
88,Elon,32,14,18,0.438,-6.89,-1.69,6,12,8,5,4,12,2346,2437,68,108.6,0.225,0.442,0.54,51.8,47.1,9.3,10,0.519,12.7,27.8,0.158
89,Evansville,32,17,15,0.531,0.69,1.35,7,11,15,3,2,10,2094,2045,65.9,96.6,0.321,0.429,0.523,49.2,56.2,10.8,11.3,0.492,18.3,25.4,0.221
90,Fairfield,33,17,16,0.515,-4.98,-3.68,9,9,10,3,3,10,2506,2549,72.1,105.1,0.368,0.355,0.557,51.7,47.6,8.2,8.2,0.525,16.7,27,0.26
91,Fairleigh Dickinson,31,13,18,0.419,-10.42,-5.66,9,9,8,5,5,13,2313,2350,71.8,105.6,0.345,0.381,0.545,51.7,55.9,9.3,7.1,0.506,17.3,34.4,0.257
92,Florida A&M,34,9,25,0.265,-19.22,-8.34,7,9,6,4,2,20,2343,2684,69.6,111.5,0.359,0.344,0.566,54.8,49.3,8.8,8.1,0.535,16.2,36.2,0.254
93,Florida Atlantic,31,12,19,0.387,-5.36,-0.14,6,12,7,7,4,10,2155,2172,70.9,98.4,0.319,0.32,0.516,49.4,47.1,9.1,6.5,0.484,15.7,26.6,0.221
94,Florida Gulf Coast,35,23,12,0.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,73.3,98,0.34,0.391,0.517,46.2,51.1,9.5,6.8,0.486,16.9,27,0.229
95,Florida International,32,14,18,0.438,-4.3,-1.99,8,10,11,7,3,9,2262,2278,69.8,99.7,0.349,0.385,0.531,52.2,53.9,6.8,8.8,0.499,17.9,27.9,0.239
96,Florida State,35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,72.2,99.5,0.324,0.377,0.519,48.2,48.7,8,7.7,0.484,16.7,29.2,0.231
97,Florida,34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,68.4,100,0.323,0.334,0.524,51.5,47.4,6.4,8.5,0.486,17.3,30.3,0.236
98,Fordham,31,9,22,0.29,-6.74,1.26,4,14,8,9,1,10,1931,2179,66.8,104.3,0.304,0.336,0.548,57.4,61.5,8.6,11.2,0.523,18.1,32.7,0.208
99,Fresno State,32,21,11,0.656,8.17,1.84,11,7,12,5,8,5,2459,2201,68.5,99.2,0.381,0.348,0.54,48.1,50.5,7.1,7.6,0.498,17.5,24.4,0.28
100,Furman,33,23,10,0.697,4.43,-3.64,13,5,13,3,7,6,2619,2260,70.5,96.7,0.289,0.372,0.522,49.9,48.7,7.6,9.9,0.492,18.4,27.5,0.203
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Gardner-Webb,32,14,18,0.438,-9.68,-3.79,9,9,11,2,3,13,2258,2307,69.1,102.8,0.347,0.409,0.538,49.3,58.3,9.9,9.2,0.504,15.9,25.9,0.247
102,George Mason,33,16,17,0.485,-2.99,0.83,9,9,10,7,5,7,2371,2497,69.6,106.8,0.308,0.395,0.546,49.2,51.7,9,11.3,0.521,14.1,26.7,0.211
103,George Washington,33,15,18,0.455,-0.72,2.13,7,11,13,5,1,10,2225,2319,66.3,106.1,0.281,0.34,0.541,49.2,51.5,9.8,6.2,0.514,14.9,30,0.199
104,Georgetown,30,15,15,0.5,7.16,5.29,5,13,11,8,4,6,2350,2294,71.7,103.7,0.283,0.398,0.541,46.7,55.9,9.6,9,0.508,15.1,25.9,0.21
105,Georgia Southern,33,21,12,0.636,-0.54,-3.28,11,7,10,3,8,7,2504,2315,70.5,99.1,0.345,0.396,0.519,50.5,48.3,6,10,0.49,17.9,31.2,0.229
106,Georgia State,35,24,11,0.686,3.23,-2.78,12,6,11,3,9,6,2614,2356,68,98,0.37,0.459,0.51,52.3,59.3,7.2,9.8,0.471,17.8,32.1,0.258
107,Georgia Tech,32,13,19,0.406,5.25,7.47,6,12,12,7,1,10,2101,2172,66.5,101.7,0.318,0.334,0.527,50,59.5,9.5,8.1,0.492,16.4,30.6,0.227
108,Georgia,33,18,15,0.545,10.24,8.87,7,11,11,4,4,9,2247,2202,65.3,100.6,0.277,0.376,0.493,46.4,44.6,8.9,8.6,0.456,12.5,28.9,0.202
109,Gonzaga,37,32,5,0.865,18.43,2.59,17,1,15,1,10,1,3091,2505,69.8,95.6,0.291,0.357,0.505,44,46.2,7.3,7.4,0.471,15.5,22.8,0.208
110,Grambling,31,17,14,0.548,-12.97,-10.3,13,5,6,4,11,10,2257,2321,73.8,100.6,0.427,0.361,0.53,49.3,50.3,8.8,10.3,0.493,17.5,30.4,0.29
111,Grand Canyon,34,22,12,0.647,3.76,-4.81,9,5,16,3,3,7,2512,2213,70.4,91.8,0.385,0.304,0.491,48.6,42.8,8.4,6.7,0.445,18.5,28.2,0.272
112,Green Bay,33,13,20,0.394,-8.51,-4.08,7,11,10,6,2,13,2517,2499,74.1,101.4,0.302,0.389,0.524,51.3,50.1,9.3,11.8,0.491,15.9,29.1,0.215
113,Hampton,34,18,16,0.529,-8.85,-9.57,11,4,11,3,5,11,2703,2603,75,101.3,0.35,0.361,0.513,49.1,49.7,7.6,7.8,0.479,14.7,29.3,0.239
114,Hartford,33,19,14,0.576,-5.54,-5.26,11,5,9,7,9,6,2326,2318,67.7,103.3,0.333,0.41,0.535,51.1,55.2,8.6,9.3,0.509,15.8,28,0.223
115,Harvard,32,18,14,0.563,-0.28,-1.7,12,2,10,2,6,11,2182,2129,66.5,98.1,0.353,0.397,0.531,48,54.5,9.9,7.6,0.49,16.8,23.1,0.26
116,Hawaii,30,17,13,0.567,-2.32,-2.5,8,8,13,7,4,5,2104,2071,68.9,98.9,0.383,0.365,0.542,49.2,41.9,8.9,8.6,0.502,18.1,24.2,0.276
117,High Point,30,14,16,0.467,-6.74,-6.37,9,9,11,4,3,11,2126,1993,67.1,98.6,0.375,0.386,0.535,48.4,49,9.4,10.7,0.493,19.1,28.3,0.275
118,Hofstra,31,19,12,0.613,-0.53,-1.6,12,6,9,4,9,4,2464,2397,70.3,109.5,0.32,0.357,0.568,48.6,49.4,8.5,7.7,0.542,14.6,27,0.225
119,Holy Cross,31,12,19,0.387,-9.93,-5.83,8,10,6,7,6,10,1972,2099,63.7,105.4,0.339,0.445,0.547,55,59.6,9.8,7,0.51,17.2,32,0.25
120,Houston Baptist,31,6,25,0.194,-16.14,-3.96,2,16,5,8,1,16,2382,2617,75.6,110.7,0.363,0.363,0.589,49.1,55.8,8.5,11.9,0.553,17,29.5,0.275
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Houston,35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,68.5,94.7,0.416,0.379,0.502,45.4,51.9,7.3,7.1,0.455,16.8,25.2,0.293
122,Howard,33,10,23,0.303,-17.26,-9.75,7,9,7,4,2,18,2449,2654,71.3,110.7,0.388,0.361,0.562,53.2,55.6,7.8,8.5,0.53,16.5,35.1,0.272
